Variable,Units,Description
wombat.n_hlv,n/a,Number of heavy lift vessels (fixed-bottom offshore) or crawler cranes (land-based) that should be made available to the wind farm (fixed-bottom simulations only)
wombat.n_tugboat,n/a,Number of tugboat groups that should be available to the port to tow floating turbines to port and back
wombat.port_workday_start,n/a,Hour of the day where any work-related activities begin for port-side repairs
wombat.port_workday_end,n/a,Hour of the day where any work-related activities end for port-side repairs
wombat.n_port_crews,n/a,Number of port-side crews available to work on simultaneous repairs for any at-port turbine
wombat.max_port_operations,n/a,Number of turbines that can be at port at once
wombat.maintenance_start,n/a,Date of first maintenance event to determine regular interval timing. Can be set to prior to the starting year to ensure staggered starts.
wombat.non_operational_start,n/a,"Starting date, in MM/DD format, for an annual period where the site is inaccessible"
wombat.non_operational_end,n/a,"Ending date, in MM/DD format, for an annual period where the site is inaccessible"
wombat.reduced_speed_start,n/a,"Starting date, in MM/DD format, for an annual period where traveling speed is reduced"
wombat.reduced_speed_end,n/a,"Ending date, in MM/DD format, for an annual period where traveling speed is reduced"
wombat.random_seed,n/a,Random seed for the internal random generator
wombat.layout,n/a,Tabular wind farm layout generated from ORBIT
fixedse.env.distLoads.windLoads_Px,N/m,
fixedse.env.distLoads.windLoads_Py,N/m,
fixedse.env.distLoads.windLoads_Pz,N/m,
fixedse.env.distLoads.windLoads_qdyn,N/m**2,
fixedse.env.distLoads.windLoads_z,m,
fixedse.env.distLoads.windLoads_beta,deg,
fixedse.env.distLoads.waveLoads_Px,N/m,
fixedse.env.distLoads.waveLoads_Py,N/m,
fixedse.env.distLoads.waveLoads_Pz,N/m,
fixedse.env.distLoads.waveLoads_qdyn,N/m**2,
fixedse.env.distLoads.waveLoads_z,m,
fixedse.env.distLoads.waveLoads_beta,deg,
fixedse.z_global,m,
fixedse.yaw,deg,
fixedse.rho_water,kg/m**3,
fixedse.z0,m,
fixedse.water_depth,m,
fixedse.Uc,m/s,mean current speed
fixedse.Hsig_wave,m,
fixedse.Tsig_wave,s,
fixedse.env.waveLoads.U,m/s,
fixedse.env.waveLoads.A,m/s**2,
fixedse.env.waveLoads.p,N/m**2,
fixedse.outer_diameter_full,m,
fixedse.beta_wave,deg,
fixedse.mu_water,kg/m/s,
fixedse.ca_usr,,
fixedse.cd_usr,,
fixedse.env.Uref,m/s,
fixedse.wind_reference_height,m,
fixedse.shearExp,,
fixedse.env.windLoads.U,m/s,
fixedse.beta_wind,deg,
fixedse.rho_air,kg/m**3,
fixedse.mu_air,kg/m/s,
fixedse.joint1,m,
fixedse.joint2,m,
fixedse.s_full,m,
fixedse.s_all,,
fixedse.g2e.Px_global,N/m,
fixedse.g2e.Py_global,N/m,
fixedse.g2e.Pz_global,N/m,
fixedse.g2e.qdyn_global,Pa,
fixedse.lc:Px,N/m,
fixedse.lc:Py,N/m,
fixedse.lc:Pz,N/m,
fixedse.lc:qdyn,Pa,
fixedse.monopile.z_soil,N/m,
fixedse.monopile.k_soil,N/m,
fixedse.nodes_xyz,m,
fixedse.section_A,m**2,
fixedse.section_Asx,m**2,
fixedse.section_Asy,m**2,
fixedse.section_Ixx,kg*m**2,
fixedse.section_Iyy,kg*m**2,
fixedse.section_J0,kg*m**2,
fixedse.section_rho,kg/m**3,
fixedse.section_E,Pa,
fixedse.section_G,Pa,
fixedse.t_full,m,
fixedse.sigma_y_full,Pa,
fixedse.qdyn,Pa,
fixedse.bending_height,m,
fixedse.tower_xyz,m,
fixedse.tower_A,m**2,
fixedse.tower_Asx,m**2,
fixedse.tower_Asy,m**2,
fixedse.tower_Ixx,kg*m**2,
fixedse.tower_Iyy,kg*m**2,
fixedse.tower_J0,kg*m**2,
fixedse.tower_rho,kg/m**3,
fixedse.tower_E,Pa,
fixedse.tower_G,Pa,
fixedse.tower_outer_diameter_full,m,
fixedse.tower_t_full,m,
fixedse.tower_sigma_y_full,Pa,
fixedse.tower_qdyn,Pa,
fixedse.tower_bending_height,m,
fixedse.monopile.rna_F,N,
fixedse.monopile.rna_M,N*m,
fixedse.turbine_F,N,
fixedse.turbine_M,N*m,
fixedse.transition_piece_mass,kg,
fixedse.transition_piece_I,kg*m**2,
fixedse.gravity_foundation_mass,kg,
fixedse.gravity_foundation_I,kg*m**2,
fixedse.transition_piece_height,m,
fixedse.suctionpile_depth,m,
fixedse.turbine_mass,kg,
fixedse.turbine_cg,m,
fixedse.turbine_I,kg*m**2,
fixedse.rna_mass,kg,
fixedse.rna_I,kg*m**2,
fixedse.rna_cg,m,
fixedse.Px,N/m,
fixedse.Py,N/m,
fixedse.Pz,N/m,
fixedse.tower_Px,N/m,
fixedse.tower_Py,N/m,
fixedse.tower_Pz,N/m,
fixedse.z_full,m,
fixedse.E_full,Pa,
fixedse.G_full,Pa,
fixedse.rho_full,kg/m**3,
fixedse.post.section_L,m,
fixedse.post.cylinder_Fz,N,
fixedse.post.cylinder_Vx,N,
fixedse.post.cylinder_Vy,N,
fixedse.post.cylinder_Mxx,N*m,
fixedse.post.cylinder_Myy,N*m,
fixedse.post.cylinder_Mzz,N*m,
fixedse.post_monopile_tower.z_full,m,
fixedse.post_monopile_tower.outer_diameter_full,m,
fixedse.post_monopile_tower.t_full,m,
fixedse.post_monopile_tower.bending_height,m,
fixedse.post_monopile_tower.E_full,Pa,
