Variable,Units,Description
drivese.spin_hole_incr,,
drivese.spinner_gust_ws,m/s,
drivese.spinner.composite_Xt,Pa,
drivese.spinner.composite_rho,kg/m**3,
drivese.spinner.Xy,Pa,
drivese.spinner.metal_rho,kg/m**3,
drivese.spinner.composite_cost,USD/kg,
drivese.spinner.metal_cost,USD/kg,
drivese.spinner_mass_user,kg,
drivese.n_front_brackets,n/a,
drivese.n_rear_brackets,n/a,
drivese.L_12,m,
drivese.L_h1,m,
drivese.L_generator,m,
drivese.overhang,m,
drivese.drive_height,m,
drivese.tilt,deg,
drivese.lss_diameter,m,
drivese.lss_wall_thickness,m,
drivese.lss_rho,kg/m**3,
drivese.bedplate_rho,kg/m**3,
drivese.bedplate_mass_user,kg,
drivese.access_diameter,m,
drivese.nose_diameter,m,
drivese.nose_wall_thickness,m,
drivese.bedplate_wall_thickness,m,
drivese.upwind,n/a,
drivese.s_lss,m,
drivese.hub_system_mass,kg,
drivese.hub_system_cm,m,
drivese.F_aero_hub,N,
drivese.M_aero_hub,N*m,
drivese.blades_mass,kg,
drivese.blades_cm,m,
drivese.s_mb1,m,
drivese.s_mb2,m,
drivese.generator_rotor_I,kg*m**2,
drivese.gearbox_mass,kg,
drivese.gearbox_I,kg*m**2,
drivese.brake_mass,kg,
drivese.brake_I,kg*m**2,
drivese.carrier_mass,kg,
drivese.carrier_I,kg*m**2,
drivese.lss_E,Pa,
drivese.lss_G,Pa,
drivese.lss_Xy,Pa,
drivese.shaft_deflection_allowable,m,
drivese.shaft_angle_allowable,rad,
drivese.E_mat,Pa,
drivese.G_mat,Pa,
drivese.Xt_mat,Pa,
drivese.Xy_mat,Pa,
drivese.wohler_exp_mat,,
drivese.wohler_A_mat,,
drivese.rho_mat,kg/m**3,
drivese.unit_cost_mat,USD/kg,
drivese.material_names,n/a,
drivese.lss_material,n/a,
drivese.hss_material,n/a,
drivese.hub_material,n/a,
drivese.spinner_material,n/a,
drivese.bedplate_material,n/a,
drivese.hvac_mass_coeff,kg/kW/m,
drivese.H_bedplate,m,
drivese.L_bedplate,m,
drivese.R_generator,m,
drivese.generator_cm,m,
drivese.rho_fiberglass,kg/m**3,
drivese.rho_castiron,kg/m**3,
drivese.mb1_mass,kg,
drivese.mb1_cm,m,
drivese.mb1_I,kg*m**2,
drivese.mb2_mass,kg,
drivese.mb2_cm,m,
drivese.mb2_I,kg*m**2,
drivese.gearbox_cm,m,
drivese.hss_mass,kg,
drivese.hss_cm,m,
drivese.hss_I,kg*m**2,
drivese.brake_cm,m,
drivese.generator_I,kg*m**2,
drivese.generator_stator_I,kg*m**2,
drivese.nose_mass,kg,
drivese.nose_cm,m,
drivese.nose_I,kg*m**2,
drivese.lss_mass,kg,
drivese.lss_cm,m,
drivese.lss_I,kg*m**2,
drivese.converter_mass,kg,
drivese.converter_cm,m,
drivese.converter_I,kg*m**2,
drivese.transformer_mass,kg,
drivese.transformer_cm,m,
drivese.transformer_I,kg*m**2,
drivese.yaw_mass,kg,
drivese.yaw_cm,m,
drivese.yaw_I,kg*m**2,
drivese.bedplate_mass,kg,
drivese.bedplate_cm,m,
drivese.bedplate_I,kg*m**2,
drivese.hvac_mass,kg,
drivese.hvac_cm,m,
drivese.hvac_I,m,
drivese.platform_mass,kg,
drivese.platform_cm,m,
drivese.platform_I,m,
drivese.cover_mass,kg,
drivese.cover_cm,m,
drivese.cover_I,m,
drivese.x_bedplate,m,
drivese.above_yaw_mass_user,kg,
drivese.above_yaw_cm_user,m,
drivese.above_yaw_I_user,kg*m**2,
drivese.constr_height,m,
drivese.uptower,n/a,
drivese.s_nose,m,
drivese.z_bedplate,m,
drivese.x_bedplate_inner,m,
drivese.z_bedplate_inner,m,
drivese.x_bedplate_outer,m,
drivese.z_bedplate_outer,m,
drivese.D_bedplate,m,
drivese.t_bedplate,m,
drivese.mb1_max_defl_ang,rad,
drivese.mb2_max_defl_ang,rad,
drivese.s_stator,m,
drivese.F_mb1,N,
drivese.F_mb2,N,
drivese.M_mb1,N*m,
drivese.M_mb2,N*m,
drivese.other_mass,kg,
drivese.bedplate_E,Pa,
drivese.bedplate_G,Pa,
drivese.bedplate_Xy,Pa,
drivese.stator_deflection_allowable,m,
drivese.stator_angle_allowable,rad,
drivese.L_drive,m,
drivese.shaft_start,m,
drivese.nacelle_mass,kg,
drivese.nacelle_cm,m,
drivese.nacelle_I_TT,kg*m**2,
drivese.minimum_rpm,rpm,
drivese.yaw.rho,kg/m**3,
drivese.yaw_mass_user,kg,
rotorse.rp.aep.CDF_V,m/s,cumulative distribution function evaluated at each wind speed
rotorse.rp.aep.P,W,power curve (power)
rotorse.rp.aep.lossFactor,,"multiplicative factor for availability and other losses (soiling, array, etc.)"
rotorse.rp.cdf.x,m/s,corresponding reference height
rotorse.rp.cdf.k,,shape or form factor
rotorse.rp.cdf.xbar,m/s,mean value of distribution
rotorse.rp.gust.V_mean,m/s,IEC average wind speed for turbine class
rotorse.rp.gust.V_hub,m/s,hub height wind speed
rotorse.rp.gust.turbulence_class,n/a,IEC turbulence class
rotorse.rp.v_min,m/s,cut-in wind speed
rotorse.rp.v_max,m/s,cut-out wind speed
rotorse.rp.rated_power,W,electrical rated power
rotorse.rp.omega_min,rpm,minimum allowed rotor rotation speed
rotorse.rp.omega_max,rpm,maximum allowed rotor rotation speed
rotorse.rp.control_maxTS,m/s,maximum allowed blade tip speed
rotorse.rp.powercurve.ps_percent,,Scalar applied to the max torque within RotorSE for peak thrust shaving. Only used if `peak_thrust_shaving` is True.
rotorse.rp.powercurve.gearbox_efficiency,,
rotorse.rp.powercurve.generator_efficiency,,Generator efficiency at various rpm values to support table lookup
rotorse.rp.powercurve.lss_rpm,rpm,Low speed shaft RPM values at which the generator efficiency values are given
rotorse.rp.drivetrainType,n/a,
rotorse.rp.powercurve.V,m/s,wind vector
rotorse.rp.powercurve.Omega,rpm,rotor rotational speed
rotorse.rp.powercurve.P,W,rotor electrical power
rotorse.rs.aero_gust.V_load,m/s,
rotorse.rs.Omega_load,rpm,
rotorse.rs.pitch_load,deg,
rotorse.rs.aero_gust.azimuth_load,deg,
rotorse.rs.aero_hub_loads.V_load,m/s,
rotorse.rs.aero_hub_loads.nSector,n/a,
rotorse.rs.brs.rootD,m,Blade root outer diameter / Chord at blade span station 0
rotorse.rs.brs.layer_thickness,m,"2D array of the thickness of the layers of the blade structure. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rs.brs.layer_start_nd,,"2D array of the non-dimensional start point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rs.brs.layer_end_nd,,"2D array of the non-dimensional end point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rs.brs.root_M,N*m,Blade root moment in blade c.s.
rotorse.rs.brs.s_f,,Safety factor
rotorse.rs.brs.d_f,m,Diameter of the fastener
rotorse.rs.brs.sigma_max,Pa,Max stress on bolt
rotorse.rs.constr.strainU_spar,,"strain in spar cap on upper surface at location xu,yu_strain with loads P_strain"
rotorse.rs.constr.strainL_spar,,"strain in spar cap on lower surface at location xl,yl_strain with loads P_strain"
rotorse.rs.constr.strainU_te,,"strain in trailing edge on upper surface at location xu,yu_strain with loads P_strain"
rotorse.rs.constr.strainL_te,,"strain in trailing edge on lower surface at location xl,yl_strain with loads P_strain"
rotorse.rs.constr.max_strainU_spar,,maximum strain in spar cap suction side
rotorse.rs.constr.max_strainL_spar,,maximum strain in spar cap pressure side
rotorse.rs.constr.max_strainU_te,,maximum strain in spar cap suction side
rotorse.rs.constr.max_strainL_te,,maximum strain in spar cap pressure side
rotorse.s,,"1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
rotorse.rs.constr.s_opt_spar_cap_ss,,1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap suction side
rotorse.rs.constr.s_opt_spar_cap_ps,,1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap pressure side
rotorse.rs.constr.s_opt_te_ss,,1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade trailing edge suction side
rotorse.rs.constr.s_opt_te_ps,,1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade trailing edge pressure side
rotorse.rs.constr.rated_Omega,rpm,rotor rotation speed at rated
rotorse.rs.constr.flap_mode_freqs,Hz,Frequencies associated with mode shapes in the flap direction
rotorse.rs.constr.edge_mode_freqs,Hz,Frequencies associated with mode shapes in the edge direction
rotorse.rs.constr.tors_mode_freqs,Hz,Frequencies associated with mode shapes in the torsional direction
rotorse.rs.constr.blade_number,n/a,
rotorse.blade_span_cg,m,Distance along the blade span for its center of gravity
rotorse.rs.x_az,m,location of blade in azimuth x-coordinate system (prebend)
rotorse.rs.y_az,m,location of blade in azimuth y-coordinate system (sweep)
rotorse.rs.z_az,m,location of blade in azimuth z-coordinate system (from root to tip)
rotorse.rs.frame.Px_af,N/m,distributed load (force per unit length) in airfoil x-direction
rotorse.rs.frame.Py_af,N/m,distributed load (force per unit length) in airfoil y-direction
rotorse.rs.frame.Pz_af,N/m,distributed load (force per unit length) in airfoil z-direction
rotorse.A,m**2,airfoil cross section material area
rotorse.rs.strains.EI11,N*m**2,stiffness w.r.t principal axis 1
rotorse.rs.strains.EI22,N*m**2,stiffness w.r.t principal axis 2
rotorse.rs.strains.alpha,deg,Angle between blade c.s. and principal axes
rotorse.rs.strains.M1,N*m,distribution along blade span of bending moment w.r.t principal axis 1
rotorse.rs.strains.M2,N*m,distribution along blade span of bending moment w.r.t principal axis 2
rotorse.rs.strains.F3,N,axial resultant along blade span
rotorse.xu_spar,,x-position of midpoint of spar cap on upper surface for strain calculation
rotorse.xl_spar,,x-position of midpoint of spar cap on lower surface for strain calculation
rotorse.yu_spar,,y-position of midpoint of spar cap on upper surface for strain calculation
rotorse.yl_spar,,y-position of midpoint of spar cap on lower surface for strain calculation
rotorse.xu_te,,x-position of midpoint of trailing-edge panel on upper surface for strain calculation
rotorse.xl_te,,x-position of midpoint of trailing-edge panel on lower surface for strain calculation
rotorse.yu_te,,y-position of midpoint of trailing-edge panel on upper surface for strain calculation
rotorse.yl_te,,y-position of midpoint of trailing-edge panel on lower surface for strain calculation
rotorse.rs.tip_pos.dx_tip,m,deflection at tip in blade x-direction
rotorse.rs.tip_pos.dy_tip,m,deflection at tip in blade y-direction
rotorse.rs.tip_pos.dz_tip,m,deflection at tip in blade z-direction
rotorse.rs.tip_pos.3d_curv_tip,deg,total coning angle including precone and curvature
rotorse.rs.tip_pos.dynamicFactor,,a dynamic amplification factor to adjust the static deflection calculation
rotorse.rs.tot_loads_gust.aeroloads_Px,N/m,distributed loads in blade-aligned x-direction
rotorse.rs.tot_loads_gust.aeroloads_Py,N/m,distributed loads in blade-aligned y-direction
rotorse.rs.tot_loads_gust.aeroloads_Pz,N/m,distributed loads in blade-aligned z-direction
rotorse.rs.tot_loads_gust.aeroloads_Omega,rpm,rotor rotation speed
rotorse.rs.tot_loads_gust.aeroloads_pitch,deg,pitch angle
rotorse.rs.tot_loads_gust.aeroloads_azimuth,deg,azimuthal angle
rotorse.rs.3d_curv,deg,total cone angle from precone and curvature
rotorse.rs.tot_loads_gust.dynamicFactor,,a dynamic amplification factor to adjust the static deflection calculation
rotorse.stall_check.aoa_along_span,deg,Angle of attack along blade span
rotorse.stall_check.stall_margin,deg,Minimum margin from the stall angle
rotorse.stall_check.min_s,,Minimum nondimensional coordinate along blade span where to define the constraint (blade root typically stalls)
landbosse.blade_drag_coefficient,,
landbosse.blade_lever_arm,m,
landbosse.blade_install_cycle_time,h,
landbosse.blade_offload_hook_height,m,
landbosse.blade_offload_cycle_time,h,
landbosse.blade_drag_multiplier,,
landbosse.blade_surface_area,m**2,
landbosse.foundation_height,m,
landbosse.tower_section_length_m,m,
landbosse.nacelle_mass,kg,
landbosse.tower_mass,kg,
landbosse.blade_mass,kg,The mass of one rotor blade.
landbosse.hub_mass,kg,Mass of the rotor hub
landbosse.crane_breakdown_fraction,,0 means the crane is never broken down. 1 means it is broken down every turbine.
landbosse.construct_duration,,Total project construction time (months)
landbosse.hub_height_meters,m,Hub height m
landbosse.rotor_diameter_m,m,Rotor diameter m
landbosse.wind_shear_exponent,,Wind shear exponent
landbosse.turbine_capex_kW,USD/kW,Turbine capital cost
landbosse.turbine_rating_MW,MW,Turbine rating MW
landbosse.fuel_cost_usd_per_gal,,Fuel cost USD/gal
landbosse.breakpoint_between_base_and_topping_percent,,Breakpoint between base and topping (percent)
landbosse.turbine_spacing_rotor_diameters,,Turbine spacing (times rotor diameter)
landbosse.depth,m,Foundation depth m
landbosse.rated_thrust_N,N,Rated Thrust (N)
landbosse.bearing_pressure_n_m2,,Bearing Pressure (n/m2)
landbosse.gust_velocity_m_per_s,m/s,50-year Gust Velocity (m/s)
landbosse.road_length_adder_m,m,Road length adder (m)
landbosse.fraction_new_roads,,Percent of roads that will be constructed (0.0 - 1.0)
landbosse.road_quality,,Road Quality (0-1)
landbosse.line_frequency_hz,Hz,Line Frequency (Hz)
landbosse.row_spacing_rotor_diameters,,Row spacing (times rotor diameter)
landbosse.trench_len_to_substation_km,km,Combined Homerun Trench Length to Substation (km)
landbosse.distance_to_interconnect_mi,mi,Distance to interconnect (miles)
landbosse.interconnect_voltage_kV,kV,Interconnect Voltage (kV)
landbosse.critical_speed_non_erection_wind_delays_m_per_s,m/s,Non-Erection Wind Delay Critical Speed (m/s)
landbosse.critical_height_non_erection_wind_delays_m,m,Non-Erection Wind Delay Critical Height (m)
landbosse.road_width_ft,ft,Road width (ft)
landbosse.road_thickness,,Road thickness (in)
landbosse.crane_width,m,Crane width (m)
landbosse.overtime_multiplier,,Overtime multiplier
landbosse.markup_contingency,,Markup contingency
landbosse.markup_warranty_management,,Markup warranty management
landbosse.markup_sales_and_use_tax,,Markup sales and use tax
landbosse.markup_overhead,,Markup overhead
landbosse.markup_profit_margin,,Markup profit margin
landbosse.Mass tonne,t,
landbosse.development_labor_cost_usd,USD,The cost of labor in the development phase
landbosse.labor_cost_multiplier,,Labor cost multiplier
landbosse.commissioning_cost_kW,USD/kW,Commissioning cost.
landbosse.decommissioning_cost_kW,USD/kW,Decommissioning cost.
landbosse.road_distributed_wind,n/a,
landbosse.num_turbines,n/a,Number of turbines in project
landbosse.number_of_blades,n/a,Number of blades on the rotor
landbosse.user_defined_home_run_trench,n/a,Flag for user-defined home run trench length (0 = no; 1 = yes)
landbosse.allow_same_flag,n/a,Allow same crane for base and topping (True or False)
landbosse.hour_day,n/a,"Dictionary of normal and long hours for construction in a day in the form of {'long': 24, 'normal': 10}"
landbosse.time_construct,n/a,One of the keys in the hour_day dictionary to specify how many hours per day construction happens.
landbosse.user_defined_distance_to_grid_connection,n/a,Flag for user-defined home run trench length (True or False)
landbosse.rate_of_deliveries,n/a,Rate of deliveries (turbines per week)
landbosse.new_switchyard,n/a,New Switchyard (True or False)
landbosse.num_hwy_permits,n/a,Number of highway permits
landbosse.num_access_roads,n/a,Number of access roads
landbosse.site_facility_building_area_df,n/a,site_facility_building_area DataFrame
landbosse.components,n/a,"Dataframe of components for tower, blade, nacelle"
landbosse.crane_specs,n/a,Dataframe of specifications of cranes
landbosse.weather_window,n/a,Dataframe of wind toolkit data
landbosse.crew,n/a,Dataframe of crew configurations
landbosse.crew_price,n/a,Dataframe of costs per hour for each type of worker.
landbosse.equip,n/a,Collections of equipment to perform erection operations.
landbosse.equip_price,n/a,Prices for various type of equipment.
landbosse.rsmeans,n/a,RSMeans price data
landbosse.cable_specs,n/a,cable specs for collection system
landbosse.material_price,n/a,Prices of materials for foundations and roads
landbosse.project_data,n/a,Dictionary of all dataframes of data
drivese.s_drive,m,
drivese.bedplate_flange_width,m,
drivese.bedplate_flange_thickness,m,
drivese.bedplate_web_height,m,
drivese.bedplate_web_thickness,m,
drivese.s_generator,m,
drivese.F_torq,N,
drivese.F_generator,N,
drivese.M_torq,N*m,
drivese.M_generator,N*m,
drivese.generator.S_Nmax,,
drivese.generator.B_symax,T,
drivese.s_hss,m,
drivese.hss_diameter,m,
drivese.hss_wall_thickness,m,
drivese.hss_E,Pa,
drivese.hss_G,Pa,
drivese.hss_rho,kg/m**3,
drivese.hss_Xy,Pa,
drivese.L_hss,m,
drivese.L_gearbox,m,
floatingse.Hsig_wave,m,
floatingse.variable_ballast_mass,kg,
floatingse.fairlead_radius,m,
floatingse.fairlead,m,
floatingse.survival_heel,rad,
floatingse.member0_main_column:nodes_xyz,m,
floatingse.member0_main_column:constr_ballast_capacity,,
floatingse.member1_column1:nodes_xyz,m,
floatingse.member1_column1:constr_ballast_capacity,,
floatingse.member2_column2:nodes_xyz,m,
floatingse.member2_column2:constr_ballast_capacity,,
floatingse.member3_column3:nodes_xyz,m,
floatingse.member3_column3:constr_ballast_capacity,,
floatingse.member4_Y_pontoon_upper1:nodes_xyz,m,
floatingse.member4_Y_pontoon_upper1:constr_ballast_capacity,,
floatingse.member5_Y_pontoon_upper2:nodes_xyz,m,
floatingse.member5_Y_pontoon_upper2:constr_ballast_capacity,,
floatingse.member6_Y_pontoon_upper3:nodes_xyz,m,
floatingse.member6_Y_pontoon_upper3:constr_ballast_capacity,,
floatingse.member7_Y_pontoon_lower1:nodes_xyz,m,
floatingse.member7_Y_pontoon_lower1:constr_ballast_capacity,,
floatingse.member8_Y_pontoon_lower2:nodes_xyz,m,
floatingse.member8_Y_pontoon_lower2:constr_ballast_capacity,,
floatingse.member9_Y_pontoon_lower3:nodes_xyz,m,
floatingse.member9_Y_pontoon_lower3:constr_ballast_capacity,,
floatingse.platform_Iwaterx,m**4,
floatingse.platform_Iwatery,m**4,
floatingse.platform_displacement,m**3,
floatingse.platform_center_of_buoyancy,m,
floatingse.system_center_of_mass,m,
floatingse.transition_node,m,
floatingse.turbine_F,N,
floatingse.turbine_M,N*m,
floatingse.max_surge_restoring_force,N,
floatingse.operational_heel_restoring_force,N,
floatingse.survival_heel_restoring_force,N,
floatingse.platform_mass,kg,
floatingse.platform_hull_center_of_mass,m,
floatingse.platform_added_mass,kg,
floatingse.platform_nodes,m,
floatingse.platform_Fnode,N,
floatingse.platform_Rnode,m,
floatingse.platform_elem_n1,,
floatingse.platform_elem_n2,,
floatingse.platform_elem_t,m,
floatingse.platform_elem_L,m,
floatingse.platform_elem_A,m**2,
floatingse.platform_elem_Asx,m**2,
floatingse.platform_elem_Asy,m**2,
floatingse.platform_elem_Ixx,kg*m**2,
floatingse.platform_elem_Iyy,kg*m**2,
floatingse.platform_elem_J0,kg*m**2,
floatingse.platform_elem_rho,kg/m**3,
floatingse.platform_elem_E,Pa,
floatingse.platform_elem_G,Pa,
floatingse.platform_elem_TorsC,m**3,
floatingse.platform_elem_Px1,N/m,
floatingse.platform_elem_Px2,N/m,
floatingse.platform_elem_Py1,N/m,
floatingse.platform_elem_Py2,N/m,
floatingse.platform_elem_Pz1,N/m,
floatingse.platform_elem_Pz2,N/m,
floatingse.transition_piece_mass,kg,
floatingse.transition_piece_I,kg*m**2,
floatingse.mooring_neutral_load,N,
floatingse.mooring_fairlead_joints,m,
floatingse.mooring_stiffness,N/m,
floatingse.variable_center_of_mass,m,
floatingse.variable_I,kg*m**2,
floatingse.member0_main_column:Px,N/m,
floatingse.member0_main_column:Py,N/m,
floatingse.member0_main_column:Pz,N/m,
floatingse.member0_main_column:qdyn,Pa,
floatingse.member1_column1:Px,N/m,
floatingse.member1_column1:Py,N/m,
floatingse.member1_column1:Pz,N/m,
floatingse.member1_column1:qdyn,Pa,
floatingse.member2_column2:Px,N/m,
floatingse.member2_column2:Py,N/m,
floatingse.member2_column2:Pz,N/m,
floatingse.member2_column2:qdyn,Pa,
floatingse.member3_column3:Px,N/m,
floatingse.member3_column3:Py,N/m,
floatingse.member3_column3:Pz,N/m,
floatingse.member3_column3:qdyn,Pa,
floatingse.member4_Y_pontoon_upper1:Px,N/m,
floatingse.member4_Y_pontoon_upper1:Py,N/m,
floatingse.member4_Y_pontoon_upper1:Pz,N/m,
floatingse.member4_Y_pontoon_upper1:qdyn,Pa,
floatingse.member5_Y_pontoon_upper2:Px,N/m,
floatingse.member5_Y_pontoon_upper2:Py,N/m,
floatingse.member5_Y_pontoon_upper2:Pz,N/m,
floatingse.member5_Y_pontoon_upper2:qdyn,Pa,
floatingse.member6_Y_pontoon_upper3:Px,N/m,
floatingse.member6_Y_pontoon_upper3:Py,N/m,
floatingse.member6_Y_pontoon_upper3:Pz,N/m,
floatingse.member6_Y_pontoon_upper3:qdyn,Pa,
floatingse.member7_Y_pontoon_lower1:Px,N/m,
floatingse.member7_Y_pontoon_lower1:Py,N/m,
floatingse.member7_Y_pontoon_lower1:Pz,N/m,
floatingse.member7_Y_pontoon_lower1:qdyn,Pa,
floatingse.member8_Y_pontoon_lower2:Px,N/m,
floatingse.member8_Y_pontoon_lower2:Py,N/m,
floatingse.member8_Y_pontoon_lower2:Pz,N/m,
floatingse.member8_Y_pontoon_lower2:qdyn,Pa,
floatingse.member9_Y_pontoon_lower3:Px,N/m,
floatingse.member9_Y_pontoon_lower3:Py,N/m,
floatingse.member9_Y_pontoon_lower3:Pz,N/m,
floatingse.member9_Y_pontoon_lower3:qdyn,Pa,
floatingse.memload0.env.distLoads.windLoads_Px,N/m,
floatingse.memload0.env.distLoads.windLoads_Py,N/m,
floatingse.memload0.env.distLoads.windLoads_Pz,N/m,
floatingse.memload0.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload0.env.distLoads.windLoads_z,m,
floatingse.memload0.env.distLoads.windLoads_beta,deg,
floatingse.memload0.env.distLoads.waveLoads_Px,N/m,
floatingse.memload0.env.distLoads.waveLoads_Py,N/m,
floatingse.memload0.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload0.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload0.env.distLoads.waveLoads_z,m,
floatingse.memload0.env.distLoads.waveLoads_beta,deg,
floatingse.memload0.z_global,m,
floatingse.yaw,deg,
floatingse.rho_water,kg/m**3,
floatingse.z0,m,
floatingse.water_depth,m,
floatingse.Uc,m/s,mean current speed
floatingse.Tsig_wave,s,
floatingse.memload0.env.waveLoads.U,m/s,
floatingse.memload0.env.waveLoads.A,m/s**2,
floatingse.memload0.env.waveLoads.p,N/m**2,
floatingse.memload0.outer_diameter_full,m,
floatingse.beta_wave,deg,
floatingse.mu_water,kg/m/s,
floatingse.memload0.ca_usr,,
floatingse.memload0.cd_usr,,
floatingse.env.Uref,m/s,
floatingse.wind_reference_height,m,
floatingse.shearExp,,
floatingse.memload0.env.windLoads.U,m/s,
floatingse.beta_wind,deg,
floatingse.rho_air,kg/m**3,
floatingse.mu_air,kg/m/s,
floatingse.member0_main_column:joint1,m,
floatingse.member0_main_column:joint2,m,
floatingse.memload0.s_full,m,
floatingse.memload0.s_all,,
floatingse.memload0.g2e.Px_global,N/m,
floatingse.memload0.g2e.Py_global,N/m,
floatingse.memload0.g2e.Pz_global,N/m,
floatingse.memload0.g2e.qdyn_global,Pa,
floatingse.memload0.lc:Px,N/m,
floatingse.memload0.lc:Py,N/m,
floatingse.memload0.lc:Pz,N/m,
floatingse.memload0.lc:qdyn,Pa,
floatingse.memload1.env.distLoads.windLoads_Px,N/m,
floatingse.memload1.env.distLoads.windLoads_Py,N/m,
floatingse.memload1.env.distLoads.windLoads_Pz,N/m,
floatingse.memload1.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload1.env.distLoads.windLoads_z,m,
floatingse.memload1.env.distLoads.windLoads_beta,deg,
floatingse.memload1.env.distLoads.waveLoads_Px,N/m,
floatingse.memload1.env.distLoads.waveLoads_Py,N/m,
floatingse.memload1.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload1.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload1.env.distLoads.waveLoads_z,m,
floatingse.memload1.env.distLoads.waveLoads_beta,deg,
floatingse.memload1.z_global,m,
floatingse.memload1.env.waveLoads.U,m/s,
floatingse.memload1.env.waveLoads.A,m/s**2,
floatingse.memload1.env.waveLoads.p,N/m**2,
floatingse.memload1.outer_diameter_full,m,
floatingse.memload1.ca_usr,,
floatingse.memload1.cd_usr,,
floatingse.memload1.env.windLoads.U,m/s,
floatingse.member1_column1:joint1,m,
floatingse.member1_column1:joint2,m,
floatingse.memload1.s_full,m,
floatingse.memload1.s_all,,
floatingse.memload1.g2e.Px_global,N/m,
floatingse.memload1.g2e.Py_global,N/m,
floatingse.memload1.g2e.Pz_global,N/m,
floatingse.memload1.g2e.qdyn_global,Pa,
floatingse.memload1.lc:Px,N/m,
floatingse.memload1.lc:Py,N/m,
floatingse.memload1.lc:Pz,N/m,
floatingse.memload1.lc:qdyn,Pa,
floatingse.memload2.env.distLoads.windLoads_Px,N/m,
floatingse.memload2.env.distLoads.windLoads_Py,N/m,
floatingse.memload2.env.distLoads.windLoads_Pz,N/m,
floatingse.memload2.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload2.env.distLoads.windLoads_z,m,
floatingse.memload2.env.distLoads.windLoads_beta,deg,
floatingse.memload2.env.distLoads.waveLoads_Px,N/m,
floatingse.memload2.env.distLoads.waveLoads_Py,N/m,
floatingse.memload2.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload2.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload2.env.distLoads.waveLoads_z,m,
floatingse.memload2.env.distLoads.waveLoads_beta,deg,
floatingse.memload2.z_global,m,
floatingse.memload2.env.waveLoads.U,m/s,
floatingse.memload2.env.waveLoads.A,m/s**2,
floatingse.memload2.env.waveLoads.p,N/m**2,
floatingse.memload2.outer_diameter_full,m,
floatingse.memload2.ca_usr,,
floatingse.memload2.cd_usr,,
floatingse.memload2.env.windLoads.U,m/s,
floatingse.member2_column2:joint1,m,
floatingse.member2_column2:joint2,m,
floatingse.memload2.s_full,m,
floatingse.memload2.s_all,,
floatingse.memload2.g2e.Px_global,N/m,
floatingse.memload2.g2e.Py_global,N/m,
floatingse.memload2.g2e.Pz_global,N/m,
floatingse.memload2.g2e.qdyn_global,Pa,
floatingse.memload2.lc:Px,N/m,
floatingse.memload2.lc:Py,N/m,
floatingse.memload2.lc:Pz,N/m,
floatingse.memload2.lc:qdyn,Pa,
floatingse.memload3.env.distLoads.windLoads_Px,N/m,
floatingse.memload3.env.distLoads.windLoads_Py,N/m,
floatingse.memload3.env.distLoads.windLoads_Pz,N/m,
floatingse.memload3.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload3.env.distLoads.windLoads_z,m,
floatingse.memload3.env.distLoads.windLoads_beta,deg,
floatingse.memload3.env.distLoads.waveLoads_Px,N/m,
floatingse.memload3.env.distLoads.waveLoads_Py,N/m,
floatingse.memload3.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload3.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload3.env.distLoads.waveLoads_z,m,
floatingse.memload3.env.distLoads.waveLoads_beta,deg,
floatingse.memload3.z_global,m,
floatingse.memload3.env.waveLoads.U,m/s,
floatingse.memload3.env.waveLoads.A,m/s**2,
floatingse.memload3.env.waveLoads.p,N/m**2,
floatingse.memload3.outer_diameter_full,m,
floatingse.memload3.ca_usr,,
floatingse.memload3.cd_usr,,
floatingse.memload3.env.windLoads.U,m/s,
floatingse.member3_column3:joint1,m,
floatingse.member3_column3:joint2,m,
floatingse.memload3.s_full,m,
floatingse.memload3.s_all,,
floatingse.memload3.g2e.Px_global,N/m,
floatingse.memload3.g2e.Py_global,N/m,
floatingse.memload3.g2e.Pz_global,N/m,
floatingse.memload3.g2e.qdyn_global,Pa,
floatingse.memload3.lc:Px,N/m,
floatingse.memload3.lc:Py,N/m,
